ConditionRunId,Timestamp,ElapsedTime,SampleCount,Time,Camera_pos_x,Camera_pos_y,Camera_pos_z,Camera_rot_x,Camera_rot_y,Camera_rot_z,Screen_pos_x,Screen_pos_y,Screen_pos_z,Screen_rot_x,Screen_rot_y,Screen_rot_z,LeftShoulder_pos_x,LeftShoulder_pos_y,LeftShoulder_pos_z,LeftShoulder_rot_x,LeftShoulder_rot_y,LeftShoulder_rot_z,RightShoulder_pos_x,RightShoulder_pos_y,RightShoulder_pos_z,RightShoulder_rot_x,RightShoulder_rot_y,RightShoulder_rot_z
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.6742180Z,0.2274020,15,0.232666,8.736897,-0.5592804,-0.9780903,0.3302975,359.7666,359.2052,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.6848440Z,0.2380280,16,0.2438354,8.736923,-0.5592388,-0.9779563,0.3084507,359.7816,359.2045,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7014360Z,0.2546200,17,0.2581787,8.736897,-0.5591676,-0.9777161,0.276458,359.8212,359.2263,8.797998,-0.7005925,2.400054,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7156190Z,0.2688030,18,0.2753906,8.736817,-0.5591476,-0.9776176,0.2644597,359.857,359.2353,8.797998,-0.7005925,2.400293,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7276780Z,0.2808620,19,0.2854004,8.736831,-0.5591369,-0.9773952,0.2600819,359.8671,359.249,8.797998,-0.7005925,2.400427,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7378520Z,0.2910360,20,0.2973022,8.736802,-0.559163,-0.9772708,0.2712748,359.8917,359.2662,8.797998,-0.7005925,2.400573,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7540160Z,0.3072000,21,0.3117065,8.736845,-0.5591931,-0.9768951,0.3108446,359.9403,359.2691,8.797998,-0.7005925,2.400774,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7656660Z,0.3188500,22,0.3255615,8.736849,-0.5592357,-0.9766924,0.3304479,359.9559,359.2577,8.797998,-0.7005925,2.40096,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7840120Z,0.3371960,23,0.3419189,8.736846,-0.5592765,-0.9764891,0.3472939,359.9735,359.2455,8.797998,-0.7005925,2.401173,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.7925490Z,0.3457330,24,0.3522949,8.736805,-0.5593481,-0.9762995,0.3793182,0.01147843,359.2417,8.797998,-0.7005925,2.401307,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8022770Z,0.3554610,25,0.3598022,8.736844,-0.5593836,-0.9761059,0.4083348,0.03924388,359.2361,8.797998,-0.7005925,2.401413,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8208540Z,0.3740380,26,0.3798218,8.736891,-0.5595188,-0.9757006,0.4785605,0.0760661,359.266,8.797998,-0.7005925,2.40168,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8299130Z,0.3830970,27,0.3882446,8.7369,-0.5596278,-0.9755408,0.522694,0.09460517,359.2732,8.797998,-0.7005925,2.4018,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8472690Z,0.4004530,28,0.4069824,8.736881,-0.5596848,-0.9754053,0.5641097,0.116793,359.2805,8.797998,-0.7005925,2.40204,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8568990Z,0.4100830,29,0.4147339,8.736927,-0.5597421,-0.9751821,0.6073766,0.1332033,359.2722,8.797998,-0.7005925,2.402147,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
5ee54b37-c68c-48c2-b10a-96a259b5adae,2025-05-19T11:18:23.8669480Z,0.4201320,30,0.4263306,8.736965,-0.5597994,-0.9750041,0.6236183,0.1560825,359.2603,8.797998,-0.7005925,2.402307,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
