ConditionRunId,Timestamp,ElapsedTime,SampleCount,Time,Camera_pos_x,Camera_pos_y,Camera_pos_z,Camera_rot_x,Camera_rot_y,Camera_rot_z,Screen_pos_x,Screen_pos_y,Screen_pos_z,Screen_rot_x,Screen_rot_y,Screen_rot_z,LeftShoulder_pos_x,LeftShoulder_pos_y,LeftShoulder_pos_z,LeftShoulder_rot_x,LeftShoulder_rot_y,LeftShoulder_rot_z,RightShoulder_pos_x,RightShoulder_pos_y,RightShoulder_pos_z,RightShoulder_rot_x,RightShoulder_rot_y,RightShoulder_rot_z
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2348150Z,0.2529220,15,0.3252563,8.803624,-0.5521562,-0.817678,0.006286856,358.2535,359.1144,8.797998,-0.7005925,2.4003,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2574700Z,0.2755770,16,0.3476563,8.803699,-0.5521865,-0.8176515,0.0420538,358.2686,359.0797,8.797998,-0.7005925,2.400453,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2801610Z,0.2982680,17,0.3703613,8.803685,-0.5522223,-0.8177533,0.05144706,358.2798,359.056,8.797998,-0.7005925,2.4006,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3013100Z,0.3194170,18,0.3912354,8.803731,-0.5521545,-0.8177061,0.01030611,358.2923,359.0656,8.797998,-0.7005925,2.40074,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3246460Z,0.3427530,19,0.4147339,8.803799,-0.5521877,-0.8177269,0.0004371146,358.2943,359.0896,8.797998,-0.7005925,2.400893,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3473810Z,0.3654880,20,0.4376831,8.803867,-0.5522771,-0.817765,0.03713002,358.3014,359.102,8.797998,-0.7005925,2.401047,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3678340Z,0.3859410,21,0.4577026,8.803923,-0.5523653,-0.8177614,0.05907713,358.2894,359.0878,8.797998,-0.7005925,2.401187,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3911430Z,0.4092500,22,0.4807739,8.803963,-0.5524883,-0.8178045,0.08481412,358.2763,359.0619,8.797998,-0.7005925,2.40134,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.4139580Z,0.4320650,23,0.5036011,8.80399,-0.5525546,-0.8178804,0.1158678,358.2246,359.0561,8.797998,-0.7005925,2.401487,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.4353000Z,0.4534070,24,0.5258179,8.80396,-0.5526128,-0.8179977,0.1646426,358.1951,359.0781,8.797998,-0.7005925,2.401634,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.4564770Z,0.4745840,25,0.546814,8.804044,-0.5525839,-0.8179609,0.1864687,358.1579,359.0782,8.797998,-0.7005925,2.40178,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.4798800Z,0.4979870,26,0.5698242,8.804025,-0.5526998,-0.8179936,0.1789475,358.1579,359.0412,8.797998,-0.7005925,2.401933,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.5021120Z,0.5202190,27,0.5918579,8.804001,-0.5527422,-0.8180702,0.1902775,358.1268,359.0035,8.797998,-0.7005925,2.40208,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.5231700Z,0.5412770,28,0.6135254,8.804043,-0.5528191,-0.8181211,0.2049165,358.0811,358.9742,8.797998,-0.7005925,2.40222,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.5469500Z,0.5650570,29,0.6367188,8.804067,-0.5528409,-0.8181733,0.2282387,358.0533,358.9818,8.797998,-0.7005925,2.40238,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
